source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
The Higgs boson is the only Standard Model particle that has not yet been observed.,Das Higgs-Boson ist das einzige noch nicht beobachtete Standardmodellteilchen.,Higgs boson是唯一尚未观测到的标准模型粒子。,Higgs boson is the only standard model particle yet to be observed.,The Higgs boson is the only unobserved standard model particle.
"The core may be composed of solid and liquid layers, while the cores of Mars and Venus are thought to be completely solid as they lack an internally generated magnetic field.","Mars und Venus haben vermutlich feste Kerne, weil ihnen interne erzeugte Magnetfelder fehlen, während ein anderes als fest und flüssig gilt.","核心可能由固体和液体层组成,火星和金星的核心据信是完全固体的。","The core may consist of solid and liquid layers, and the cores of Mars and Venus are believed to be fully solid.","Mars and Venus probably have solid nuclei because they lack internal generated magnetic fields, while another is considered to be solid and liquid."
The precursor to Hurricane Beulah was a tropical wave moving across the tropical Atlantic.,"Der Ursprung von Hurrikan Beulah war eine tropische Welle, die sich über den Atlantik bewegte.","在 "" Beulah "" 飓风之前,有一个跨越热带大西洋的热带浪潮。","Prior to Hurricane Beulah, there was a tropical wave across the tropical Atlantic Ocean.",The origin of Hurricane Beulah was a tropical wave that moved across the Atlantic Ocean.
"With her election, Pelosi became the first woman, the first Californian and the first Italian-American to hold the Speakership.","Pelosi ist die erste Frau, erste Californic und die erste italienisch-amerikanische, die das Speakership hält.","佩洛西成为第一位妇女,第一位加利福尼亚人,也是第一位当选众议院议长的意大利裔美国人。","Pelosi became the first woman, the first Californian and the first Italian American to be elected Speaker of the House of Representatives.","Pelosi is the first woman, first Californiac and the first Italian-American to hold the speakership."
"It is caught, smoked and then sold widely in markets around the lake.","Es wird gefangen, geräuchert und dann rund um den See verkauft.","它被捕捉,烟熏,然后在湖边销售。","It was captured, smoked and then sold by the lake.","It is caught, smoked and then sold around the lake."
The table below highlights those differences.,Die nachstehende Tabelle zeigt diese Unterschiede.,下表显示了这些差异。,The table below shows these differences.,The table below shows these differences.
30 Seconds to Mars has received three awards from four nominations.,"30 Seconds to Mars erhielt drei Auszeichnungen, die vier Mal nominiert wurden.",30秒到火星 赢得了3个奖项 被提名4次,"Thirty seconds to Mars, three awards, four nominations.","30 Seconds to Mars received three awards, which were nominated four times."
"Construction was completed in 1254 under Frederick's son, Conrad IV of Germany.",Das Gebäude wurde 1254 unter Friedrichs Sohn Conrad IV. von Deutschland errichtet.,"1254年,根据德国Conrad IV完成建筑工程。","In 1254, construction work was completed on the basis of Conrad IV, Germany.",The building was built in 1254 under Friedrich's son Conrad IV of Germany.
It is considered one of the most important precursors to the Academy Awards.,"Es ist eine der wichtigsten, nach den Academy Awards.","据认为,它是奥斯卡奖最重要的祖先之一。",It is thought to be one of the most important ancestors of the Oscars.,It is one of the most important after the Academy Awards.
"Retrieved 2008 - 12 - 25 Album information The title of the album, ""A Little Bit Longer"", comes from their song of the same name, which Nick Jonas wrote about his dealings with having type 1 diabetes.","Der Titel des Albums ""A Little Bit Longer"" stammt aus ihrem gleichnamigen Song. Nick Jonas schrieb über seinen Umgang mit Typ-1-Diabetes.",这张专辑的标题是基于尼克·乔纳斯 对患1型糖尿病的感情,The title of this album is based on Nick Jonas' feelings for type 1 diabetes.,"The title of the album ""A Little Bit Longer"" comes from her song of the same name. Nick Jonas wrote about his dealings with type 1 diabetes."
He is especially known for his series The Knickerbocker Gang and his stories about the talking bike Tom Turbo.,Er ist bekannt für The Knickerbocker Gang und Tom Turbo das sprechende Fahrrad.,他以他的系列书《尼克博克帮》闻名。 他还以他关于汤姆·图尔博的故事著称。 汤姆·图尔博是一个会说话的自行车。,"He's known for his book series, The Nickbock Gang, and he's known for his story about Tom Turbo, a talking bike.",He is known for The Knickerbocker Gang and Tom Turbo's talking bike.
Interrupt controlled system Some embedded systems are predominantly interrupt controlled.,Kontrolliertes Break-System Einige Fix-Systeme werden meist durch Interrupt gesteuert.,有些修补系统主要通过中断来控制。,Some repair systems are controlled mainly through interruptions.,Controlled break system Some fixed systems are mostly controlled by interrupt.
"With exceptions, the Fatimids were reputed to exercise a degree of religious tolerance towards non-Ismaili sects of Islam as well as towards Jews, Maltese Christians and Coptic Christians.","Die Fatimiden waren bekannt dafür, ein gewisses Maß an religiöser Toleranz gegenüber nicht-ismailischen Sekten des Islams sowie gegenüber Juden, maltesischen Christen und koptischen Christen auszuüben.","除例外情况外,Fatimid人被认为对非伊斯梅尔教派的伊斯兰教以及犹太人、马耳他基督徒和科普特基督徒有一些宗教容忍。","Except in exceptional cases, the Fatimad are considered to have some religious tolerance towards non-Ishmael Islam, as well as towards Jews, Maltese Christians and Coptic Christians.","The Fatimids were known to exercise a certain degree of religious tolerance towards non-Ismailic sects of Islam as well as towards Jews, Maltese Christians and Coptic Christians."
"Throwing a pie in a person's face has been a staple of film comedy since Ben Turpin received one in Mr. Flip in 1909, and is often associated with clowns in popular culture.","Mr. Flip schlug Ben Turpin 1909 mit einem Kuchen ins Gesicht. Von diesem Moment an wäre es ein normaler Teil der Komödie. Clowns sind auch dafür bekannt, Menschen mit Kuchen ins Gesicht zu schlagen.","自1909年本·图尔平在Flip先生的作品中赢得了一部以来, 将馅饼丢在一个人的脸上就成了一部电影喜剧主片, 并且经常与流行文化中的小丑有关。","Since Ben Turpin won one of Mr. Flip's works in 1909, throwing pies in a person's face has become a movie comedy star, often associated with clowns in popular culture.","Mr. Flip slapped Ben Turpin in the face in 1909 with a cake. From that moment on, it would be a normal part of the comedy. Clowns are also known for hitting people in the face with cakes."
"One of its new attractions, the Triple Hurricane roller coaster, was named for the tumultuous storm season.","Eine neue Fahrt, die Achterbahn Triple Hurricane, wurde nach der turbulenten Sturmsaison benannt.",三重飓风过山车是它的新景点之一 被命名为恶劣的风暴季节,"The triple hurricane overboard is one of its new attractions, named the bad storm season.","A new ride, the Triple Hurricane roller coaster, was named after the turbulent storm season."
"The population of this ward in 2001 was 16,800 people in 5,700 households.",Im Jahr 2001 lebten 16.800 Menschen in 5.700 Häusern.,"2001年,该镇有16 800人住在5 700座房屋中。","In 2001, 16,800 people lived in 5,700 houses in the town.","In 2001, 16,800 people lived in 5,700 houses."
"Individual songs from some of the operettas have become standards, notably ""Vilja"" from The Merry Widow and ""You Are My Heart's Delight"" (""Dein ist mein ganzes Herz"") from The Land of Smiles.","Einzelne Lieder aus einigen der Operetten sind zu Standards geworden.Die bemerkenswertesten sind ""Vilja"" aus The Merry Widow und ""You Are My Heart's Delight"" aus The Land of Smiles.",最引人注目的是《快乐寡妇》中的“Vilja”和《微笑之国》中的“你是我的心的光荣”。,Most striking are the words “Vilja” in Happy Widows and “You are the glory of my heart” in “The Land of Smiles”.,"Individual songs from some of the operettas have become standards.The most notable are ""Vilja"" from The Merry Widow and ""You Are My Heart's Delight"" from The Land of Smiles."
The fourth and fifth digits designate the number of the urban area (in a district-free city) or the district (in a city with districts).,Die vierte und fünfte Ziffer bezeichnen die Zahl des Stadtgebiets oder des Bezirks.,第四位数和第五位数具体说明了城市地区或地区的数目。,The fourth and fifth digits specify the number of urban areas or areas.,The fourth and fifth digits indicate the number of urban areas or districts.
The following is a list of the 339 communes of the Ardèche département in France.,Hier ist eine Liste der 339 Gemeinden des Départements Ardèche in Frankreich.,这是法国Ardèche地区339个市镇的名单。,This is the list of 339 municipalities in the Ardèche region of France.,Here is a list of 339 communes in the Ardèche department in France.
Palestinian voters in the Gaza Strip and the West Bank including East Jerusalem were eligible to participate in the election.,Die palästinensischen Wähler im Gazastreifen und im Westjordanland einschließlich Ost-Jerusalems könnten bei den Wahlen wählen.,加沙地带、西岸和东耶路撒冷的巴勒斯坦选民有资格参加选举。,"Palestinian voters in the Gaza Strip, the West Bank and East Jerusalem were eligible to participate in the elections.","Palestinian voters in the Gaza Strip and the West Bank, including East Jerusalem, could vote in elections."
String theory is a developing branch of theoretical physics that combines quantum mechanics and general relativity into a quantum theory of gravity.,"String Theory ist ein wachsender Zweig der Physik, der Quantenmechanik und allgemeine Relativität zu einer Quantentheorie der Schwerkraft hinzufügt.","弦理论是物理学的一个分支,它结合了量子力学和一般相对论。",String theory is a branch of physics that combines quantum mechanics with general relativity.,String Theory is a growing branch of physics that adds quantum mechanics and general relativity to a quantum theory of gravity.
"The following year, the title returned to Raw after reigning champion Triple H was drafted back to the brand during the 2009 WWE Draft.",Im folgenden Jahr kehrte der Titel zu Raw zurück. Reigning Champion Triple H wurde während des WWE Draft 2009 zurück eingezogen.,"三H于2009年被征回Raw,并随他一起获得头衔。",Three Hs were recruited back to Raw in 2009 and acquired the title with him.,The following year the title returned to Raw. Reigning Champion Triple H was drafted back during the 2009 WWE Draft.
"The river is also potentially valuable for hydroelectric power, and the Inga Dams below Pool Malebo are first to exploit the river.","Der Fluss könnte auch für die Herstellung von Strom genutzt werden. Die Inga-Dämme sind die ersten, die den Fluss nutzen.",普尔-马利博下方的因加水坝首先开发该河。,The Inga dam below Pul-Malibo was the first to develop the river.,The river could also be used for the production of electricity. Inga dams are the first to use the river.
